votes,ps,ﺭﺩﻧﺟ,ﯽﻫﺩﻳﺃﺭ ﺯﮐﺭﻣ ﻡﺎﻧ,pc_code,ﺕﻳﻻﻭ,audit_number
600,1,ﻪﻧﺍﺩﺭﻣ,ﻝﻳﺧﺭﻗ ﯽըﻧﻭﻭ֢ ړﻭﺯ ﻥﻭיﺭﺍ,1211163,ﺎﮑﻳﺗﮑﭘ,721
600,2,ﻪﻧﺍﺩﺭﻣ,ﺕﺎﻣﻭﺟ ﯽﺗﺷﭘ,1211179,ﺎﮑﻳﺗﮑﭘ,722
600,2,ﻪﻧﺍﺩﺭﻣ,ﯽըﻧﻭﻭ֢ ﯽﻠﮐ ﻝﻳﺧ ﻩﺩﻧﻳﺎﭘ,1207089,ﺎﮑﻳﺗﮑﭘ,723
600,1,ﻪﻧﺍﺩﺭﻣ,ﯽﺗﻭﮐﺭﻳﭘ,1211183,ﺎﮑﻳﺗﮑﭘ,724
600,2,ﻪﻧﺍﺩﺭﻣ,ﯽﺗﻭﮐﺭﻳﭘ,1211183,ﺎﮑﻳﺗﮑﭘ,725
600,3,ﻪﻧﺍﺩﺭﻣ,ﯽﺗﻭﮐﺭﻳﭘ,1211183,ﺎﮑﻳﺗﮑﭘ,726
600,1,ﻪﻧﺍﺩﺭﻣ,ﻙﻳﻧﻳﻠﻛ  ﻲﺗﻭﻛﺭﻳﭘ,1211296,ﺎﮑﻳﺗﮑﭘ,727
600,1,ﻪﻧﺍﺩﺭﻣ,ﯽըﻧﻭﻭ֢ ﯽﻧըﻧﻣ ﯽיﻭﺗﻳﭘ,1214261,ﺎﮑﻳﺗﮑﭘ,728
600,2,ﻪﻧﺍﺩﺭﻣ,ﯽըﻧﻭﻭ֢ ﯽﻧըﻧﻣ ﯽיﻭﺗﻳﭘ,1214261,ﺎﮑﻳﺗﮑﭘ,729
600,1,ﻪﻧﺍﺩﺭﻣ,ﯽըﻧﻭﻭ֢ ﯽﻧړﻣﻭﻟ,1208125,ﺎﮑﻳﺗﮑﭘ,730
600,4,ﻪﻧﺎﻧﺯ,ﺕﺎﻣﻭﺟ ﻝﻳﺧ ﻰﺟﺍﺭ,1206066,ﺎﮑﻳﺗﮑﭘ,731
600,1,ﻪﻧﺍﺩﺭﻣ,ﻪﻣﻳﺧ ﯽﻟﺍﻭﺳﻟﻭ ﺯﮐﺭﻣ,1206068,ﺎﮑﻳﺗﮑﭘ,732
600,2,ﻪﻧﺍﺩﺭﻣ,ﻪﻣﻳﺧ ﯽﻟﺍﻭﺳﻟﻭ ﺯﮐﺭﻣ,1206068,ﺎﮑﻳﺗﮑﭘ,733
600,3,ﻪﻧﺎﻧﺯ,ﻪﻣﻳﺧ ﯽﻟﺍﻭﺳﻟﻭ ﺯﮐﺭﻣ,1206068,ﺎﮑﻳﺗﮑﭘ,734
